OrderNumber,ClientName,ProductName,ProductType,UnitPrice,ProductQuantity,TotalPrice,Currency,DeliveryAddress,DeliveryCity,DeliveryPostcode,DeliveryCountry,DeliveryContactNumber,PaymentType,PaymentBillingCode,PaymentDate
PO0060504-1,MacGyver Inc,Piano,Keyboard,4700,3,14100,GBP,72 Academy Street,Swindon,SN4 9QP,United Kingdom,+44 7911 843910,Debit,PO0060504-20210321,21/03/2021
PO0060504-2,Howell LLC,Bamboo Flute,Woodwind,60,1,60,GBP,91 Buckingham Rd,Grimsby,DN37 9TS,UNITED KINGDOM,+44 151 496 0566,Credit,PO0087294-20210317,17/03/2021
PO0060504-3,HOWELL LLC,Harp,String,940,2,1880,GBP,91 Buckingham Rd,Grimsby,DN37 9TS,UNITED KINGDOM,+44 151 496 0566,Credit,PO0087294-20210317,17/03/2021
PO0060504-4,HOWELL LLC,Piano,Keyboard,4700,2,9400,GBP,91 Buckingham Rd,Grimsby,DN37 9TS,UNITED KINGDOM,+44 151 496 0566,Credit,PO0087294-20210317,17/03/2021
PO0060504-5,Howell LLC,Snare Drum,Percussion,350,3,1050,GBP,91 Buckingham Rd,Grimsby,DN37 9TS,UNITED KINGDOM,+44 151 496 0566,Credit,PO0087294-20210317,17/03/2021
PO0011111-1,Padberg Inc,Zither,String,2400,1,2400,GBP,4 Boar Lane,Guildford,GU5 9DJ,United Kingdom,+44 7700 043202,Debit,PO0011111-20210114,14/01/2021
PO0011111-2,Padberg Inc,Piano,Keyboard,4700,1,4700,GBP,4 Boar Lane,Guildford,GU5 9DJ,United Kingdom,+44 7700 043202,Debit,PO0011111-20210114,14/01/2021
PO0011111-3,Padberg Inc,Steel Drums,Percussion,690,7,4830,GBP,4 Boar Lane,Guildford,GU5 9DJ,United Kingdom,+44 7700 043202,Debit,PO0011111-20210114,14/01/2021
PO0011111-4,Padberg Inc,Kazoo,Percussion,28,7,196,GBP,4 Boar Lane,Guildford,GU5 9DJ,United Kingdom,+44 7700 043202,Debit,PO0011111-20210114,14/01/2021
PO0074849-1,Russel Turner Limited,Piano,Keyboard,4700,4,18800,GBP,77 Berkeley Rd,Okehampton,EX20 1EL,United Kingdom,,Credit,PO0074849-20210410,10/04/2021
PO0024697-1,"Quitzon, Luettgen and Waters",Viola,String,2000,2,4000,GBP,72 Scrimshire Lane,Edinburgh,EH7 4GT,United Kingdom,+44 115 496 0157,Credit,PO0024697-20210127,27/01/2021
PO0024697-2,"Quitzon, Luettgen and Waters",French Horn,Brass,7400,1,7400,GBP,72 Scrimshire Lane,Edinburgh,EH7 4GT,United Kingdom,+44 115 496 0157,Credit,PO0024697-20210127,27/01/2021
PO0096358-1,Stanton - Reilly,Crystal Glasses,Mics,1500,4,6000,GBP,33 Manchester Road,YORK,YO29 6FZ,UK,,Credit,PO0096358-20210204,04/02/2021
PO0096358-2,Stanton - Reilly,Fiddle,String,950,1,950,GBP,33 Manchester Road,YORK,YO29 6FZ,UK,,Credit,PO0096358-20210204,04/02/2021
PO0096358-3,Stanton - Reilly,Maracas,Percussion,74,3,222,GBP,33 Manchester Road,YORK,YO29 6FZ,UK,,Credit,PO0096358-20210204,04/02/2021
PO0013360-1,Rath - Schroeder,Vibraphone,Percussion,8000,7,56000,GBP,45 Park Avenue,NEWPORT,NP80 1OK,UK,+44 7457 884830,Debit,PO0013360-20210207,07/02/2021
PO0013360-2,Rath - Schroeder,Snare Drum,Percussion,350,8,2800,GBP,45 Park Avenue,NEWPORT,NP80 1OK,UK,+44 7457 884830,Debit,PO0013360-20210207,07/02/2021
PO0013360-3,Rath - Schroeder,Acoustic Guitar,String,940,2,1880,GBP,45 Park Avenue,NEWPORT,NP80 1OK,UK,+44 7457 884830,Debit,PO0013360-20210207,07/02/2021
PO0097680-1,"Gleason, Rau and Spinka",Viola,String,2000,1,2000,GBP,2290 Cottrill Lane,WAKEFIELD,WF63 0TY,United Kingdom,+44 114 496 0511,Debit,PO0097680-20210411,11/04/2021
PO0097680-2,"Gleason, Rau and Spinka",Keyboard,Keyboard,510,1,510,GBP,2290 Cottrill Lane,WAKEFIELD,WF63 0TY,United Kingdom,+44 114 496 0511,Debit,PO0097680-20210411,11/04/2021
PO0097680-3,"Gleason, Rau and Spinka",Harp,String,940,6,5640,GBP,2290 Cottrill Lane,WAKEFIELD,WF63 0TY,United Kingdom,+44 114 496 0511,Debit,PO0097680-20210411,11/04/2021
PO0097680-4,"Gleason, Rau and Spinka",Fiddle,String,950,9,8550,GBP,2290 Cottrill Lane,WAKEFIELD,WF63 0TY,United Kingdom,+44 114 496 0511,Debit,PO0097680-20210411,11/04/2021
PO0097299-1,Zemlak LTD,Bamboo Flute,Woodwind,60,7,420,GBP,3246 Gambler Lane,NORTH LONDON,N61 3FK,United Kingdom,+44 7700 023180,Credit,PO0097299-20210303,03/03/2021
PO0097299-2,ZEMLAK LTD,Viola,String,2000,1,2000,GBP,3246 Gambler Lane,NORTH LONDON,N61 3FK,United Kingdom,+44 7700 023180,Credit,PO0097299-20210303,03/03/2021
PO0097299-3,ZEMLAK LTD,French Horn,Brass,7400,6,44400,GBP,3246 Gambler Lane,NORTH LONDON,N61 3FK,United Kingdom,+44 7700 023180,Credit,PO0097299-20210303,03/03/2021
PO0097299-4,ZEMLAK LTD,Bass Guitar,String,2500,5,12500,GBP,3246 Gambler Lane,NORTH LONDON,N61 3FK,United Kingdom,+44 7700 023180,Credit,PO0097299-20210303,03/03/2021
